Ticker,Company,Pattern,Start Date,End Date,Width,API Start Date,API End Date,Breakout Date,Have Data
SNK,SANOK (SNK),h&s_top,2023-06-18,2023-08-15,58,2022-12-26,2024-02-05,,True
GTN,GETIN (GTN),vertical_run_up,2023-07-21,2023-08-03,13,2023-06-12,2023-09-11,,True
PEO,PEKAO (PEO),h&s_top,2023-07-14,2023-08-30,47,2023-02-23,2024-01-18,,True
SKH,SKARBIEC (SKH),rising_wedge,2023-07-01,2023-08-29,59,2023-01-05,2024-02-22,,True
SPL,SANPL (SPL),h&s_top,2023-07-05,2023-08-30,56,2023-01-18,2024-02-14,,True
RNK,RANKPROGR (RNK),rising_wedge,2023-04-28,2023-06-12,45,2022-12-14,2023-10-25,,True
DOM,DOMDEV (DOM),double_top,2023-07-26,2023-08-22,27,2023-05-06,2023-11-11,,True
NEU,NEUCA (NEU),double_top,2023-07-02,2023-07-18,16,2023-05-15,2023-09-04,,True
PZU,PZU,double_top,2023-07-05,2023-07-31,26,2023-04-18,2023-10-17,,True
ENA,ENEA (ENA),double_top,2023-07-30,2023-08-24,25,2023-05-16,2023-11-07,,True
FRO,FERRO (FRO),h&s_top,2023-07-15,2023-08-11,27,2023-04-25,2023-10-31,,True
ENA,ENEA (ENA),double_top,2023-07-25,2023-08-11,17,2023-06-04,2023-10-01,,True
,WIG-CHEMIA,double_bottom,2023-06-29,2023-08-28,60,2022-12-31,2024-02-24,,True
BHW,HANDLOWY (BHW),double_top,2023-06-27,2023-07-21,24,2023-04-16,2023-10-01,,True
SLV,SELVITA (SLV),flat_base,2023-05-25,2023-08-10,77,2022-10-06,2024-03-28,,True
AMB,AMBRA (AMB),double_top,2023-06-13,2023-07-04,21,2023-04-11,2023-09-05,,True
SLV,SELVITA (SLV),double_bottom,2023-07-17,2023-08-30,44,2023-03-07,2024-01-09,,True
TEN,TSGAMES (TEN),double_bottom,2023-07-23,2023-08-22,30,2023-04-24,2023-11-20,,True
NEU,NEUCA (NEU),h&s_top,2023-07-03,2023-08-22,50,2023-02-03,2024-01-19,,True
ALL,AILLERON (ALL),falling_wedge,2023-06-25,2023-08-08,44,2023-02-13,2023-12-18,,True
NEU,NEUCA (NEU),h&s_top,2023-07-14,2023-08-22,39,2023-03-19,2023-12-17,,True
ATD,ATENDE (ATD),double_bottom,2023-07-26,2023-08-28,33,2023-04-18,2023-12-05,,True
TRK,TRAKCJA (TRK),falling_wedge,2023-05-17,2023-08-03,78,2022-09-25,2024-03-24,,True
SLV,SELVITA (SLV),flat_base,2023-06-24,2023-08-03,40,2023-02-24,2023-12-01,,True
,WIG-NRCHOM,double_top,2023-07-22,2023-08-02,11,2023-06-19,2023-09-04,,True
BRS,BORYSZEW (BRS),falling_wedge,2023-07-14,2023-08-25,42,2023-03-10,2023-12-29,,True
SNK,SANOK (SNK),double_bottom,2023-08-15,2023-08-29,14,2023-07-04,2023-10-10,,True
SLV,SELVITA (SLV),double_bottom,2023-06-10,2023-06-28,18,2023-04-17,2023-08-21,,True
PHN,PHN,double_bottom,2023-08-22,2023-08-29,7,2023-08-01,2023-09-19,,True
,WIG-ENERG,h&s_top,2023-08-20,2023-08-30,10,2023-07-21,2023-09-29,,True
RVU,RYVU (RVU),falling_wedge,2023-07-25,2023-08-10,16,2023-06-07,2023-09-27,,True
PZU,PZU,double_top,2023-06-01,2023-06-23,22,2023-03-27,2023-08-28,,True
PZU,PZU,falling_wedge,2023-06-27,2023-07-14,17,2023-05-07,2023-09-03,8/30/2023,True
